checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
< 0 DM,24,current loans paid,car,2964,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,49,bank,for free,1,skilled,2,yes,yes,0
none,24,past payment delays,car,2538,< 100 DM,>= 7 years,4,male-single,none,4,car or other,47,none,own,2,unskilled-resident,2,none,yes,1
< 0 DM,30,current loans paid,radio/television,2522,< 100 DM,>= 7 years,1,male-single,guarantor,3,building society savings/life insurance,39,none,own,1,skilled,2,none,yes,0
none,24,critical account - other non-bank loans,business,4139,100 - 500 DM,1 - 4 years,3,male-single,none,3,building society savings/life insurance,27,none,own,2,unskilled-resident,1,yes,yes,0
none,24,current loans paid,furniture/equipment,2835,500 - 1000 DM,>= 7 years,3,male-single,none,4,building society savings/life insurance,53,none,own,1,skilled,1,none,yes,0
0 - 200 DM,36,past payment delays,car,8086,100 - 500 DM,>= 7 years,2,male-single,none,4,car or other,42,none,own,4,highly skilled,1,yes,yes,1
none,18,current loans paid,radio/television,1473,< 100 DM,< 1 year,3,male-married/widowed,none,4,real estate,39,none,own,1,skilled,1,yes,yes,0
> 200 DM or salary assignment,12,current loans paid,radio/television,3016,< 100 DM,1 - 4 years,3,male-married/widowed,none,1,car or other,24,none,own,1,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,car,2022,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,37,none,own,1,skilled,1,yes,yes,0
> 200 DM or salary assignment,12,current loans paid,radio/television,1297,< 100 DM,1 - 4 years,3,male-married/widowed,none,4,real estate,23,none,rent,1,skilled,1,none,yes,0
< 0 DM,12,current loans paid,car,900,unknown/none,1 - 4 years,4,male-married/widowed,none,2,car or other,23,none,own,1,skilled,1,none,yes,1
0 - 200 DM,15,critical account - other non-bank loans,radio/television,1537,unknown/none,>= 7 years,4,male-single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes,0
< 0 DM,48,no credit - paid,furniture/equipment,7119,< 100 DM,1 - 4 years,3,male-single,none,4,unknown-none,53,none,for free,2,skilled,2,none,yes,1
0 - 200 DM,20,past payment delays,other,2629,< 100 DM,1 - 4 years,2,male-single,none,3,car or other,29,bank,own,2,skilled,1,yes,yes,0
> 200 DM or salary assignment,18,current loans paid,radio/television,2100,< 100 DM,1 - 4 years,4,male-single,co-applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,1
0 - 200 DM,24,current loans paid,radio/television,5084,unknown/none,>= 7 years,2,female-divorced/separated/married,none,4,car or other,42,none,own,1,skilled,1,yes,yes,0
< 0 DM,12,current loans paid,furniture/equipment,1858,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,car or other,22,none,rent,1,skilled,1,none,yes,0
< 0 DM,48,critical account - other non-bank loans,car,6331,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,46,none,for free,2,skilled,1,yes,yes,1
0 - 200 DM,10,current loans paid,car,7308,< 100 DM,unemployed,2,male-single,none,4,unknown-none,70,bank,for free,1,highly skilled,1,yes,yes,0
0 - 200 DM,60,past payment delays,radio/television,9157,unknown/none,1 - 4 years,2,male-single,none,2,unknown-none,27,none,for free,1,highly skilled,1,none,yes,0
0 - 200 DM,9,current loans paid,radio/television,790,500 - 1000 DM,1 - 4 years,4,female-divorced/separated/married,none,3,real estate,66,none,own,1,unskilled-resident,1,none,yes,0
none,24,current loans paid,radio/television,1552,< 100 DM,4 - 7 years,3,male-single,none,1,car or other,32,bank,own,1,skilled,2,none,yes,0
0 - 200 DM,18,current loans paid,repairs,3872,< 100 DM,unemployed,2,female-divorced/separated/married,none,4,car or other,67,none,own,1,skilled,1,yes,yes,0
< 0 DM,36,critical account - other non-bank loans,furniture/equipment,2348,< 100 DM,1 - 4 years,3,male-married/widowed,none,2,building society savings/life insurance,46,none,own,2,skilled,1,yes,yes,0
none,30,critical account - other non-bank loans,radio/television,6742,unknown/none,4 - 7 years,2,male-single,none,3,building society savings/life insurance,36,none,own,2,skilled,1,none,yes,0
none,24,past payment delays,business,3863,< 100 DM,1 - 4 years,1,male-single,none,2,unknown-none,32,none,for free,1,skilled,1,none,yes,0
0 - 200 DM,12,current loans paid,radio/television,1567,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,1,car or other,22,none,own,1,skilled,1,yes,yes,0
< 0 DM,18,critical account - other non-bank loans,furniture/equipment,1049,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,21,none,rent,1,skilled,1,none,yes,0
< 0 DM,6,critical account - other non-bank loans,car,4716,unknown/none,< 1 year,1,male-single,none,3,real estate,44,none,own,2,unskilled-resident,2,none,yes,0
none,6,current loans paid,repairs,660,500 - 1000 DM,4 - 7 years,2,male-married/widowed,none,4,real estate,23,none,rent,1,unskilled-resident,1,none,yes,0
< 0 DM,27,current loans paid,radio/television,3416,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,27,none,own,1,highly skilled,1,none,yes,0
< 0 DM,6,all loans at bank paid,education,1198,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,35,none,for free,1,skilled,1,none,yes,1
< 0 DM,12,critical account - other non-bank loans,radio/television,385,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,3,real estate,58,none,own,4,unskilled-resident,1,yes,yes,0
< 0 DM,24,current loans paid,car,1371,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,real estate,25,none,rent,1,skilled,1,none,yes,1
< 0 DM,12,current loans paid,car,1228,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,24,none,own,1,unskilled-resident,1,none,yes,1
0 - 200 DM,18,critical account - other non-bank loans,radio/television,1245,< 100 DM,1 - 4 years,4,male-married/widowed,none,2,car or other,33,none,own,1,skilled,1,none,yes,1
> 200 DM or salary assignment,15,current loans paid,education,1905,< 100 DM,>= 7 years,4,male-single,none,4,car or other,40,none,rent,1,highly skilled,1,yes,yes,0
none,24,current loans paid,furniture/equipment,3062,500 - 1000 DM,>= 7 years,4,male-single,none,3,unknown-none,32,none,rent,1,skilled,1,yes,yes,0
< 0 DM,6,current loans paid,furniture/equipment,1374,< 100 DM,1 - 4 years,1,male-single,none,2,real estate,36,bank,own,1,unskilled-resident,1,yes,yes,0
< 0 DM,9,critical account - other non-bank loans,car,2799,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,0
none,15,current loans paid,radio/television,1213,500 - 1000 DM,>= 7 years,4,male-single,none,3,building society savings/life insurance,47,stores,own,1,skilled,1,yes,yes,0
none,12,current loans paid,radio/television,776,< 100 DM,1 - 4 years,4,male-married/widowed,none,2,real estate,28,none,own,1,skilled,1,none,yes,0
< 0 DM,36,past payment delays,education,6887,< 100 DM,1 - 4 years,4,male-single,none,3,building society savings/life insurance,29,stores,own,1,skilled,1,yes,yes,1
0 - 200 DM,48,current loans paid,radio/television,5951,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,real estate,22,none,own,1,skilled,1,none,yes,1
< 0 DM,18,current loans paid,car,4380,100 - 500 DM,1 - 4 years,3,male-single,none,4,car or other,35,none,own,1,unskilled-resident,2,yes,yes,0
none,24,current loans paid,radio/television,3430,500 - 1000 DM,>= 7 years,3,male-single,none,2,car or other,31,none,own,1,skilled,2,yes,yes,0
< 0 DM,60,past payment delays,business,6836,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,63,none,own,2,skilled,1,yes,yes,1
none,18,critical account - other non-bank loans,education,1864,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,2,real estate,30,none,own,2,skilled,1,none,yes,1
none,24,critical account - other non-bank loans,furniture/equipment,1585,< 100 DM,4 - 7 years,4,male-single,none,3,building society savings/life insurance,40,none,own,2,skilled,1,none,yes,0
none,24,current loans paid,radio/television,2397,500 - 1000 DM,>= 7 years,3,male-single,none,2,car or other,35,bank,own,2,skilled,1,yes,yes,1
0 - 200 DM,18,critical account - other non-bank loans,car,1056,< 100 DM,>= 7 years,3,male-single,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,1
< 0 DM,24,current loans paid,other,1755,< 100 DM,>= 7 years,4,female-divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled-resident,1,yes,yes,0
none,24,current loans paid,car,1525,>= 1000 DM,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,34,none,own,1,skilled,2,yes,yes,0
none,18,current loans paid,car,3378,unknown/none,1 - 4 years,2,male-single,none,1,building society savings/life insurance,31,none,own,1,skilled,1,yes,yes,0
0 - 200 DM,45,critical account - other non-bank loans,car,4576,100 - 500 DM,unemployed,3,male-single,none,4,car or other,27,none,own,1,skilled,1,none,yes,0
none,12,current loans paid,furniture/equipment,763,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,real estate,26,none,own,1,skilled,1,yes,yes,0
none,24,critical account - other non-bank loans,repairs,2058,< 100 DM,1 - 4 years,4,male-divorced/separated,none,2,real estate,33,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,6,past payment delays,car,1209,< 100 DM,unemployed,4,male-single,none,4,building society savings/life insurance,47,none,own,1,highly skilled,1,yes,yes,1
none,24,critical account - other non-bank loans,radio/television,2578,>= 1000 DM,>= 7 years,2,male-single,none,2,car or other,34,none,own,1,skilled,1,none,yes,0
none,15,critical account - other non-bank loans,radio/television,1471,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,35,none,for free,2,skilled,1,yes,yes,0
< 0 DM,27,critical account - other non-bank loans,business,2442,< 100 DM,>= 7 years,4,male-single,none,4,car or other,43,stores,own,4,highly skilled,2,yes,yes,0
0 - 200 DM,12,current loans paid,education,754,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,38,none,own,2,skilled,1,none,yes,0
none,12,current loans paid,car,3527,unknown/none,< 1 year,2,male-single,none,3,building society savings/life insurance,45,none,own,1,highly skilled,2,yes,yes,0
none,15,current loans paid,car,3186,>= 1000 DM,4 - 7 years,2,female-divorced/separated/married,none,3,car or other,20,none,rent,1,skilled,1,none,yes,0
none,12,critical account - other non-bank loans,car,682,100 - 500 DM,4 - 7 years,4,female-divorced/separated/married,none,3,car or other,51,none,own,2,skilled,1,yes,yes,0
> 200 DM or salary assignment,15,current loans paid,business,2687,< 100 DM,4 - 7 years,2,male-single,none,4,building society savings/life insurance,26,none,rent,1,skilled,1,yes,yes,0
< 0 DM,18,no credit - paid,business,3104,< 100 DM,4 - 7 years,3,male-single,none,1,building society savings/life insurance,31,bank,own,1,skilled,1,yes,yes,0
0 - 200 DM,21,past payment delays,car,2353,< 100 DM,1 - 4 years,1,male-divorced/separated,none,4,building society savings/life insurance,47,none,own,2,skilled,1,none,yes,0
none,12,critical account - other non-bank loans,radio/television,1934,< 100 DM,>= 7 years,2,male-single,none,2,unknown-none,26,none,own,2,skilled,1,none,yes,0
< 0 DM,15,current loans paid,car,1721,< 100 DM,< 1 year,2,male-single,none,3,real estate,36,none,own,1,skilled,1,none,yes,0
0 - 200 DM,36,current loans paid,radio/television,4795,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,unknown-none,30,none,own,1,highly skilled,1,yes,yes,0
0 - 200 DM,18,current loans paid,furniture/equipment,1924,unknown/none,< 1 year,4,female-divorced/separated/married,none,3,real estate,27,none,rent,1,skilled,1,none,yes,1
none,6,current loans paid,radio/television,1346,100 - 500 DM,>= 7 years,2,male-single,none,4,unknown-none,42,bank,for free,1,skilled,2,yes,yes,0
< 0 DM,12,critical account - other non-bank loans,furniture/equipment,2246,< 100 DM,>= 7 years,3,male-single,none,3,building society savings/life insurance,60,none,own,2,skilled,1,none,yes,1
0 - 200 DM,9,all loans at bank paid,car,1437,100 - 500 DM,4 - 7 years,2,male-single,none,3,unknown-none,29,none,own,1,skilled,1,none,yes,1
none,12,past payment delays,car,1503,< 100 DM,1 - 4 years,4,male-married/widowed,none,4,real estate,41,none,rent,1,skilled,1,none,yes,0
none,24,current loans paid,car,7814,< 100 DM,4 - 7 years,3,male-single,none,3,car or other,38,none,own,1,highly skilled,1,yes,yes,0
none,12,all loans at bank paid,education,3447,500 - 1000 DM,1 - 4 years,4,female-divorced/separated/married,none,3,real estate,35,none,own,1,unskilled-resident,2,none,yes,0
< 0 DM,24,current loans paid,furniture/equipment,3234,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled-resident,1,yes,yes,1
< 0 DM,24,current loans paid,furniture/equipment,7721,unknown/none,< 1 year,1,female-divorced/separated/married,none,2,building society savings/life insurance,30,none,own,1,skilled,1,yes,no,0
< 0 DM,20,current loans paid,furniture/equipment,2212,unknown/none,4 - 7 years,4,male-single,none,4,car or other,39,none,own,1,skilled,1,yes,yes,0
0 - 200 DM,24,all loans at bank paid,education,1837,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,unknown-none,34,bank,for free,1,unskilled-resident,1,none,yes,1
< 0 DM,48,critical account - other non-bank loans,car,6143,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,unknown-none,58,stores,for free,2,unskilled-resident,1,none,yes,1
none,18,critical account - other non-bank loans,car,2775,< 100 DM,4 - 7 years,2,male-single,none,2,building society savings/life insurance,31,bank,own,2,skilled,1,none,yes,1
none,24,past payment delays,business,8648,< 100 DM,< 1 year,2,male-single,none,2,car or other,27,bank,own,2,skilled,1,yes,yes,1
< 0 DM,18,current loans paid,car,7511,unknown/none,>= 7 years,1,male-single,none,4,building society savings/life insurance,51,none,for free,1,skilled,2,yes,yes,1
> 200 DM or salary assignment,9,current loans paid,radio/television,1126,100 - 500 DM,>= 7 years,2,male-divorced/separated,none,4,real estate,49,none,own,1,skilled,1,none,yes,0
< 0 DM,24,current loans paid,radio/television,1938,< 100 DM,< 1 year,4,male-divorced/separated,none,3,building society savings/life insurance,32,none,own,1,skilled,1,none,yes,1
none,28,all loans at bank paid,car,7824,unknown/none,< 1 year,3,male-single,guarantor,4,real estate,40,bank,rent,2,skilled,2,yes,yes,0
< 0 DM,18,current loans paid,furniture/equipment,1131,< 100 DM,unemployed,4,female-divorced/separated/married,none,2,car or other,33,none,own,1,skilled,1,none,yes,1
none,12,critical account - other non-bank loans,radio/television,1240,unknown/none,>= 7 years,4,female-divorced/separated/married,none,2,real estate,38,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,18,current loans paid,car,1042,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,2,building society savings/life insurance,33,none,own,1,skilled,1,none,yes,1
< 0 DM,24,current loans paid,furniture/equipment,3021,< 100 DM,1 - 4 years,2,male-divorced/separated,none,2,real estate,24,none,rent,1,unskilled-resident,1,none,yes,0
none,30,critical account - other non-bank loans,radio/television,4530,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,car or other,26,none,rent,1,highly skilled,1,yes,yes,0
none,24,past payment delays,business,2978,unknown/none,1 - 4 years,4,male-single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,0
none,24,current loans paid,car,1249,< 100 DM,< 1 year,4,male-married/widowed,none,2,real estate,28,none,own,1,skilled,1,none,yes,0
0 - 200 DM,12,current loans paid,radio/television,2930,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,1,real estate,27,none,own,1,skilled,1,none,yes,0
none,18,critical account - other non-bank loans,car,3229,unknown/none,unemployed,2,male-single,none,4,unknown-none,38,none,own,1,highly skilled,1,yes,yes,0
none,60,current loans paid,radio/television,10144,100 - 500 DM,4 - 7 years,2,female-divorced/separated/married,none,4,real estate,21,none,own,1,skilled,1,yes,yes,0
none,21,current loans paid,radio/television,3160,unknown/none,>= 7 years,4,male-single,none,3,building society savings/life insurance,41,none,own,1,skilled,1,yes,yes,0
none,24,current loans paid,car,1474,100 - 500 DM,< 1 year,4,male-married/widowed,none,3,real estate,33,none,own,1,skilled,1,yes,yes,0
< 0 DM,16,critical account - other non-bank loans,car,2625,< 100 DM,>= 7 years,2,male-single,guarantor,4,building society savings/life insurance,43,bank,rent,1,skilled,1,yes,yes,1
0 - 200 DM,30,current loans paid,radio/television,2991,unknown/none,>= 7 years,2,female-divorced/separated/married,none,4,car or other,25,none,own,1,skilled,1,none,yes,0
< 0 DM,24,critical account - other non-bank loans,radio/television,1231,>= 1000 DM,>= 7 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,57,none,rent,2,highly skilled,1,yes,yes,0
none,6,current loans paid,repairs,1338,500 - 1000 DM,1 - 4 years,1,male-divorced/separated,none,4,real estate,62,none,own,1,skilled,1,none,yes,0
< 0 DM,21,current loans paid,car,3763,unknown/none,4 - 7 years,2,male-single,co-applicant,2,real estate,24,none,own,1,unskilled-resident,1,none,no,0
none,12,current loans paid,business,1076,< 100 DM,1 - 4 years,2,male-married/widowed,none,2,real estate,26,none,own,1,skilled,1,yes,no,0
< 0 DM,15,current loans paid,furniture/equipment,1845,< 100 DM,< 1 year,4,female-divorced/separated/married,guarantor,1,building society savings/life insurance,46,none,rent,1,skilled,1,none,yes,0
none,36,past payment delays,radio/television,4454,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,real estate,34,none,own,2,skilled,1,none,yes,0
< 0 DM,18,current loans paid,radio/television,1882,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,25,bank,rent,2,skilled,1,none,yes,1
0 - 200 DM,24,current loans paid,car,11560,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,4,car or other,23,none,rent,2,highly skilled,1,none,yes,1
0 - 200 DM,12,current loans paid,car,1295,< 100 DM,< 1 year,3,female-divorced/separated/married,none,1,car or other,25,none,rent,1,skilled,1,none,yes,1
none,15,current loans paid,car,3556,unknown/none,1 - 4 years,3,male-single,none,2,unknown-none,29,none,own,1,skilled,1,none,yes,0
0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,3612,< 100 DM,>= 7 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,37,none,own,1,skilled,1,yes,yes,0
> 200 DM or salary assignment,24,current loans paid,furniture/equipment,1925,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,26,none,own,1,skilled,1,none,yes,0
< 0 DM,30,critical account - other non-bank loans,car,10623,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,38,none,for free,3,highly skilled,2,yes,yes,0
none,18,current loans paid,car,1820,< 100 DM,1 - 4 years,2,male-married/widowed,none,2,building society savings/life insurance,30,none,own,1,highly skilled,1,yes,yes,0
0 - 200 DM,24,current loans paid,car,1355,< 100 DM,< 1 year,3,female-divorced/separated/married,none,4,car or other,25,none,own,1,unskilled-resident,1,yes,yes,1
none,36,current loans paid,radio/television,2394,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,25,none,own,1,skilled,1,none,yes,0
none,36,current loans paid,business,5742,100 - 500 DM,4 - 7 years,2,male-single,none,2,car or other,31,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,27,current loans paid,business,3915,< 100 DM,1 - 4 years,4,male-single,none,2,car or other,36,none,own,1,skilled,2,yes,yes,1
none,12,current loans paid,car,1386,500 - 1000 DM,1 - 4 years,2,female-divorced/separated/married,none,2,building society savings/life insurance,26,none,own,1,skilled,1,none,yes,1
< 0 DM,48,current loans paid,radio/television,6758,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,car or other,31,none,own,1,skilled,1,yes,yes,1
0 - 200 DM,48,past payment delays,business,6681,unknown/none,1 - 4 years,4,male-single,none,4,unknown-none,38,none,for free,1,skilled,2,yes,yes,0
0 - 200 DM,6,past payment delays,business,1449,100 - 500 DM,>= 7 years,1,male-divorced/separated,none,2,car or other,31,bank,own,2,skilled,2,none,yes,0
< 0 DM,24,current loans paid,car,2910,< 100 DM,4 - 7 years,2,male-single,none,1,unknown-none,34,none,for free,1,highly skilled,1,yes,yes,0
< 0 DM,12,current loans paid,repairs,741,100 - 500 DM,unemployed,4,female-divorced/separated/married,none,3,building society savings/life insurance,22,none,own,1,skilled,1,none,yes,1
< 0 DM,18,critical account - other non-bank loans,repairs,1190,< 100 DM,unemployed,2,female-divorced/separated/married,none,4,unknown-none,55,none,for free,3,unemployed-unskilled-non-resident,2,none,yes,1
0 - 200 DM,18,current loans paid,radio/television,1301,< 100 DM,>= 7 years,4,male-married/widowed,guarantor,2,real estate,32,none,own,1,unskilled-resident,1,none,yes,0
< 0 DM,24,current loans paid,furniture/equipment,4169,< 100 DM,1 - 4 years,4,male-single,none,4,building society savings/life insurance,28,none,own,1,skilled,1,none,yes,0
none,15,current loans paid,car,1300,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,45,bank,for free,1,skilled,2,none,yes,0
0 - 200 DM,24,critical account - other non-bank loans,business,2825,unknown/none,4 - 7 years,4,male-single,none,3,unknown-none,34,none,own,2,skilled,2,yes,yes,0
0 - 200 DM,24,critical account - other non-bank loans,radio/television,1216,100 - 500 DM,< 1 year,4,male-single,none,4,unknown-none,38,bank,own,2,skilled,2,none,yes,1
0 - 200 DM,21,critical account - other non-bank loans,business,3652,< 100 DM,4 - 7 years,2,male-single,none,3,building society savings/life insurance,27,none,own,2,skilled,1,none,yes,0
< 0 DM,42,critical account - other non-bank loans,repairs,3394,< 100 DM,unemployed,4,male-single,co-applicant,4,car or other,65,none,own,2,unemployed-unskilled-non-resident,1,none,yes,0
none,6,current loans paid,furniture/equipment,4611,< 100 DM,< 1 year,1,female-divorced/separated/married,none,4,building society savings/life insurance,32,none,own,1,skilled,1,none,yes,1
0 - 200 DM,18,past payment delays,car,2899,unknown/none,>= 7 years,4,male-single,none,4,car or other,43,none,own,1,skilled,2,none,yes,0
none,15,critical account - other non-bank loans,radio/television,1360,< 100 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,31,none,own,2,skilled,1,none,yes,0
0 - 200 DM,15,current loans paid,radio/television,1444,unknown/none,< 1 year,4,male-single,none,1,building society savings/life insurance,23,none,own,1,skilled,1,none,yes,0
< 0 DM,11,critical account - other non-bank loans,car,3905,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,36,none,rent,2,skilled,2,none,yes,0
none,12,critical account - other non-bank loans,radio/television,797,unknown/none,>= 7 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,33,bank,own,1,unskilled-resident,2,none,yes,1
< 0 DM,15,current loans paid,radio/television,1053,< 100 DM,< 1 year,4,male-married/widowed,none,2,real estate,27,none,own,1,skilled,1,none,no,0
< 0 DM,12,current loans paid,education,684,< 100 DM,1 - 4 years,4,male-single,none,4,car or other,40,none,rent,1,unskilled-resident,2,none,yes,1
0 - 200 DM,30,past payment delays,business,2503,100 - 500 DM,>= 7 years,4,male-single,none,2,building society savings/life insurance,41,stores,own,2,skilled,1,none,yes,0
none,30,critical account - other non-bank loans,radio/television,5954,< 100 DM,4 - 7 years,3,male-single,co-applicant,2,car or other,38,none,own,1,skilled,1,none,yes,0
none,48,current loans paid,business,4844,< 100 DM,unemployed,3,male-single,none,2,car or other,33,bank,rent,1,highly skilled,1,yes,yes,1
> 200 DM or salary assignment,6,critical account - other non-bank loans,car,1323,100 - 500 DM,>= 7 years,2,male-divorced/separated,none,4,car or other,28,none,own,2,skilled,2,yes,yes,0
none,15,past payment delays,radio/television,1478,< 100 DM,1 - 4 years,4,male-married/widowed,none,3,real estate,33,bank,own,2,skilled,1,none,yes,0
< 0 DM,9,current loans paid,car,654,< 100 DM,1 - 4 years,4,male-single,none,3,car or other,28,none,own,1,unskilled-resident,1,none,yes,1
none,24,current loans paid,radio/television,1278,< 100 DM,>= 7 years,4,male-single,none,1,real estate,36,none,own,1,highly skilled,1,yes,yes,0
0 - 200 DM,12,current loans paid,car,888,< 100 DM,>= 7 years,4,male-single,none,4,car or other,41,bank,own,1,unskilled-resident,2,none,yes,1
0 - 200 DM,12,critical account - other non-bank loans,car,1860,< 100 DM,unemployed,4,male-single,none,2,car or other,34,none,own,2,highly skilled,1,yes,yes,0
0 - 200 DM,24,critical account - other non-bank loans,furniture/equipment,4736,< 100 DM,< 1 year,2,female-divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled-resident,1,none,yes,1
0 - 200 DM,18,critical account - other non-bank loans,furniture/equipment,1928,< 100 DM,< 1 year,2,male-single,none,2,real estate,31,none,own,2,unskilled-resident,1,none,yes,1
0 - 200 DM,36,current loans paid,radio/television,2671,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,co-applicant,4,unknown-none,50,none,for free,1,skilled,1,none,yes,1
0 - 200 DM,9,critical account - other non-bank loans,education,1501,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,3,car or other,34,none,own,2,highly skilled,1,yes,yes,1
< 0 DM,15,current loans paid,car,2511,< 100 DM,unemployed,1,female-divorced/separated/married,none,4,car or other,23,none,rent,1,skilled,1,none,yes,0
none,21,past payment delays,car,2993,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,28,stores,own,2,unskilled-resident,1,none,yes,0
< 0 DM,18,current loans paid,radio/television,1936,unknown/none,4 - 7 years,2,male-married/widowed,none,4,car or other,23,none,rent,2,unskilled-resident,1,none,yes,0
none,36,past payment delays,car,8947,unknown/none,4 - 7 years,3,male-single,none,2,car or other,31,stores,own,1,highly skilled,2,yes,yes,0
0 - 200 DM,12,current loans paid,business,1037,100 - 500 DM,4 - 7 years,3,male-single,none,4,real estate,39,none,own,1,unskilled-resident,1,none,yes,0
none,24,current loans paid,car,5433,unknown/none,unemployed,2,female-divorced/separated/married,none,4,building society savings/life insurance,26,none,rent,1,highly skilled,1,yes,yes,0
none,33,past payment delays,business,2764,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,26,none,own,2,skilled,1,yes,yes,0
none,24,critical account - other non-bank loans,car,1287,>= 1000 DM,>= 7 years,4,female-divorced/separated/married,none,4,real estate,37,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,72,current loans paid,radio/television,5595,100 - 500 DM,1 - 4 years,2,male-married/widowed,none,2,car or other,24,none,own,1,skilled,1,none,yes,1
> 200 DM or salary assignment,15,critical account - other non-bank loans,radio/television,1271,unknown/none,1 - 4 years,3,male-single,none,4,unknown-none,39,none,for free,2,skilled,1,yes,yes,1
0 - 200 DM,9,current loans paid,furniture/equipment,2030,unknown/none,4 - 7 years,2,male-single,none,1,car or other,24,none,own,1,skilled,1,yes,yes,0
< 0 DM,12,current loans paid,radio/television,2214,< 100 DM,1 - 4 years,4,male-single,none,3,building society savings/life insurance,24,none,own,1,unskilled-resident,1,none,yes,0
0 - 200 DM,18,current loans paid,car,2779,< 100 DM,1 - 4 years,1,male-married/widowed,none,3,car or other,21,none,rent,1,skilled,1,yes,yes,0
0 - 200 DM,6,current loans paid,radio/television,368,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,38,none,own,1,skilled,1,none,yes,0
0 - 200 DM,6,past payment delays,furniture/equipment,1050,< 100 DM,unemployed,4,male-single,none,1,building society savings/life insurance,35,stores,own,2,highly skilled,1,yes,yes,0
< 0 DM,12,current loans paid,car,3386,< 100 DM,>= 7 years,3,male-single,none,4,unknown-none,35,none,for free,1,skilled,1,yes,yes,1
< 0 DM,42,current loans paid,radio/television,3965,< 100 DM,< 1 year,4,male-single,none,3,car or other,34,none,own,1,skilled,1,none,yes,1
none,48,critical account - other non-bank loans,car,8858,unknown/none,4 - 7 years,2,male-single,none,1,unknown-none,35,none,for free,2,skilled,1,yes,yes,0
< 0 DM,9,current loans paid,car,1422,< 100 DM,< 1 year,3,male-single,none,2,unknown-none,27,none,for free,1,highly skilled,1,yes,yes,1
none,27,current loans paid,repairs,5190,unknown/none,>= 7 years,4,male-single,none,4,building society savings/life insurance,48,none,own,4,skilled,2,yes,yes,0
